,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31
低beta股票等权重组合,-0.057918165268490696,0.06050198213277823,-0.14209010672736283,0.3786101542106586,0.46660572468568734,0.021918144854363508,0.17051180443171388,-0.008828414839578153,0.0956126413690224,-0.0993105848900647
上证综指,-0.25231736151241096,0.0323584684641117,-0.07398893219614168,0.43653799833031715,0.09291473091592753,-0.13562500127800955,0.06559975446090922,-0.29269861036230166,0.2079342718808511,0.13466755030435248
上证50,-0.20740212201527533,0.14350378113380885,-0.1749312183969517,0.5084045084636787,-0.06640786306484218,-0.058766477842958825,0.23111526294680193,-0.22925865432057416,0.2990558736225621,0.17908887120414071
