"OBJECT_ID","F_INFO_WINDCODE","ANN_DATE","PRICE_DATE","F_NAV_UNIT","F_NAV_ACCUMULATED","F_NAV_DIVACCUMULATED","F_NAV_ADJFACTOR","CRNCY_CODE","F_PRT_NETASSET","F_ASSET_MERGEDSHARESORNOT","NETASSET_TOTAL","F_NAV_ADJUSTED","IS_EXDIVIDENDDATE","F_NAV_DISTRIBUTION","OPDATE","OPMODE"
"{05563509-AF56-413C-A6AA-72E58E79CEF1}","110011.OF","20080620","20080619","1.0000","1.0000","","1.000000","CNY","1226705470.2100","0","1226705470.2100","1.0000","0",".0000","2017/8/25 09:48:44.00022:4","0"
"{248AA3FD-9502-4890-849E-ACD696CEF12C}","110011.OF","20080621","20080620","1.0001","1.0001","","1.000000","CNY","1226773864.0900","0","1226773864.0900","1.0001","0",".0000","2017/8/25 09:48:47.000","0"
"{4584DF1E-6787-4CEB-B607-E21D5E9DF18B}","110011.OF","20080624","20080623","1.0001","1.0001","","1.000000","CNY","","0","","1.0001","0",".0000","2017/8/25 09:48:45.00022:4","0"
"{FBCA119B-D821-467A-88A0-4E9E8260AE62}","110011.OF","20080625","20080624","1.0001","1.0001","","1.000000","CNY","","0","","1.0001","0",".0000","2017/8/25 09:48:44.000","0"
"{4CB2FBBF-FE54-4880-8B39-3CFB8A535724}","110011.OF","20080626","20080625","1.0001","1.0001","","1.000000","CNY","","0","","1.0001","0",".0000","2017/8/25 09:48:47.00022:4","0"
"{17BA866E-8F08-4E0F-9865-AF1C07287F29}","110011.OF","20080627","20080626","1.0001","1.0001","","1.000000","CNY","","0","","1.0001","0",".0000","2017/8/25 09:48:45.000","0"
"{B6C919BB-7828-468D-A9F4-3F10BC5BBB70}","110011.OF","20080628","20080627",".9999",".9999","","1.000000","CNY","1226613286.8600","0","1226613286.8600",".9999","0",".0000","2017/8/25 09:48:48.00022:4","0"
"{057CE163-A4A7-442C-931B-694C215E84E4}","110011.OF","20080701","20080630",".9999",".9999","","1.000000","CNY","1226619204.9800","0","1226619204.9800",".9999","0",".0000","2017/8/25 09:48:45.000","0"
"{73B3072A-F4DE-423C-A367-83DD51906C34}","110011.OF","20080702","20080701",".9999",".9999","","1.000000","CNY","","0","",".9999","0",".0000","2017/8/25 09:48:43.00022:4","0"
"{DD78E099-0241-496F-BCBE-A53B22488ADF}","110011.OF","20080703","20080702",".9999",".9999","","1.000000","CNY","","0","",".9999","0",".0000","2017/8/25 09:48:45.000","0"
"{72A5B213-8EC1-4652-B459-3849C6F711E8}","110011.OF","20080704","20080703",".9999",".9999","","1.000000","CNY","","0","",".9999","0",".0000","2017/8/25 09:48:43.00022:4","0"
"{D88AFCA1-118C-4CD6-9C02-CD3750B994C4}","110011.OF","20080705","20080704","1.0002","1.0002","","1.000000","CNY","1226895809.7800","0","1226895809.7800","1.0002","0",".0000","2017/8/25 09:48:48.000","0"
"{26CF6EA6-48E1-45BA-A8E7-73DDC80141B9}","110011.OF","20080708","20080707","1.0002","1.0002","","1.000000","CNY","","0","","1.0002","0",".0000","2017/8/25 09:48:45.00022:4","0"
"{D09DEBA8-1250-4E88-B47A-0FA7103D58F0}","110011.OF","20080709","20080708","1.0002","1.0002","","1.000000","CNY","","0","","1.0002","0",".0000","2017/8/25 09:48:45.000","0"
"{5E41FC16-CEFF-4922-A2B4-45985907CA45}","110011.OF","20080710","20080709","1.0002","1.0002","","1.000000","CNY","","0","","1.0002","0",".0000","2017/8/25 09:48:45.00022:4","0"
"{3C3F1442-8E9C-45AA-AF2D-2E6BADB036D3}","110011.OF","20080711","20080710","1.0002","1.0002","","1.000000","CNY","","0","","1.0002","0",".0000","2017/8/25 09:48:44.000","0"
"{40126F98-E468-4C00-A85E-F8397579C62F}","110011.OF","20080712","20080711","1.0031","1.0031","","1.000000","CNY","1230505555.9300","0","1230505555.9300","1.0031","0",".0000","2017/8/25 09:48:46.00022:4","0"
"{198A9E79-0627-4547-9DD5-76D88EC4FEF5}","110011.OF","20080715","20080714","1.0031","1.0031","","1.000000","CNY","","0","","1.0031","0",".0000","2017/8/25 09:48:43.000","0"
"{5C2DD1F0-DEAA-40FF-B0E0-905DEA51D6B8}","110011.OF","20080716","20080715","1.0031","1.0031","","1.000000","CNY","","0","","1.0031","0",".0000","2017/8/25 09:48:44.00022:4","0"
"{97E2C1DF-2E61-4B56-9633-57D4BC20B15A}","110011.OF","20080717","20080716","1.0031","1.0031","","1.000000","CNY","","0","","1.0031","0",".0000","2017/8/25 09:48:44.000","0"
"{8626CF05-ADE0-47C1-9010-37960335BB52}","110011.OF","20080718","20080717","1.0031","1.0031","","1.000000","CNY","","0","","1.0031","0",".0000","2017/8/25 09:48:46.00022:4","0"
