,0,1,2,3,4,5,6,7,8,9
2018-01-31,万华化学,山东黄金,中国核电,浦发银行,中国电建,ST康美,兴业银行,北京银行,农业银行,交通银行
2014-02-28,伊利股份,中国石油,工商银行,农业银行,紫金矿业,大秦铁路,交通银行,中国石化,中金黄金,招商银行
2013-06-28,山东黄金,贵州茅台,中国重工,宝钢股份,工商银行,农业银行,中国石油,伊利股份,中国神华,大秦铁路
2011-10-31,工商银行,农业银行,中国石油,建设银行,长江电力,贵州茅台,中国石化,山东黄金,中金黄金,光大银行
2011-07-29,贵州茅台,工商银行,中国石油,建设银行,交通银行,中金黄金,农业银行,中国石化,山东黄金,中国神华
2019-07-31,农业银行,工商银行,建设银行,中国银行,交通银行,民生银行,中国石化,中国神华,光大银行,中国石油
2015-01-30,白云山,三安光电,ST康美,伊利股份,东方明珠,中国中车,复星医药,海南橡胶,国电南瑞,贵州茅台
2016-06-30,中国太保,招商银行,北京银行,民生银行,兴业银行,工商银行,中国平安,农业银行,浦发银行,上汽集团
2012-05-31,大秦铁路,农业银行,工商银行,长江电力,交通银行,中国石油,光大银行,贵州茅台,宝钢股份,招商银行
2019-02-28,山东黄金,大秦铁路,中国石油,中国银行,农业银行,中国神华,交通银行,绿地控股,上汽集团,中国石化
2012-09-28,长江电力,农业银行,宝钢股份,工商银行,光大银行,交通银行,北京银行,大秦铁路,中国重工,中国建筑
2020-08-31,恒瑞医药,药明康德,上海机场,中国石化,农业银行,交通银行,工商银行,中国银行,民生银行,中国石油
2016-03-31,民生银行,浦发银行,工商银行,农业银行,贵州茅台,北京银行,兴业银行,招商银行,上汽集团,中国银行
2018-04-27,万华化学,ST康美,山东黄金,交通银行,中国电建,光大银行,北京银行,大秦铁路,中国银行,兴业银行
2015-04-30,中国中车,上港集团,中国北车(退市),复星医药,三安光电,ST康美,北方稀土,东方明珠(退市),东方明珠,中国建筑
2019-10-31,工商银行,中国银行,农业银行,建设银行,中国中免,上海银行,中国石化,交通银行,中国石油,中国神华
2020-04-30,中国石化,中国银行,农业银行,交通银行,工商银行,中国石油,民生银行,建设银行,复星医药,光大银行
2015-08-31,工商银行,中国银行,民生银行,贵州茅台,招商银行,农业银行,中国石油,中信银行,浦发银行,华夏银行
2016-11-30,上海电气,民生银行,伊利股份,浦发银行,航发动力,保利发展,北京银行,农业银行,兴业银行,工商银行
2011-02-28,中国银行,民生银行,工商银行,贵州茅台,长江电力,农业银行,建设银行,交通银行,大秦铁路,中国石油
