,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31
低beta股票等权重组合,0.1422459337812668,0.1308786603349416,0.1369824992446578,0.15741910851717675,0.3699120886732004,0.1569958887756055,0.09836924253237443,0.16315080389926703,0.13682550868654267,0.1757515712582888
上证综指,0.18394958010005144,0.17356881179509667,0.1844038862126251,0.17223896504612177,0.3925107957206792,0.23367337009523365,0.08689963889588133,0.1975936626128693,0.18089001802259444,0.20888706920173336
上证50,0.20381611050669718,0.1927433503776034,0.25031899399531876,0.22352698653162667,0.40530073951747997,0.20389060302032277,0.11159282258450727,0.22015612546952223,0.19218695538203812,0.22071047560298887
