,600000.SH,600010.SH,600015.SH,600016.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600104.SH,600111.SH,600123.SH,600188.SH,600256.SH,600348.SH,600362.SH,600489.SH,600519.SH,600547.SH,600549.SH,600585.SH,600837.SH,600887.SH,601006.SH,601088.SH,601166.SH,601169.SH,601288.SH,601299.SH,601318.SH,601328.SH,601336.SH,601398.SH,601601.SH,601628.SH,601668.SH,601669.SH,601688.SH,601699.SH,601766.SH,601800.SH,601818.SH,601857.SH,601898.SH,601899.SH,601901.SH,601989.SH
1,浦发银行,包钢股份,华夏银行,民生银行,宝钢股份,中国石化,中信证券,三一重工,招商银行,保利发展,中国联通,五矿发展,上汽集团,北方稀土,兰花科创,兖矿能源,广汇能源,华阳股份,江西铜业,中金黄金,贵州茅台,山东黄金,厦门钨业,海螺水泥,海通证券,伊利股份,大秦铁路,中国神华,兴业银行,北京银行,农业银行,中国北车(退市),中国平安,交通银行,新华保险,工商银行,中国太保,中国人寿,中国建筑,中国电建,华泰证券,潞安环能,中国中车,中国交建,光大银行,中国石油,中煤能源,紫金矿业,方正证券,中国重工
2012-10-23,3.515560685809929,2.039084406015385,3.0624251083677514,2.8932753468804946,2.9652392419485474,2.6761822321790953,8.870104761440114,7.951566085513579,7.026612900693869,5.171942835358369,3.2594460817899384,15.848356679381657,7.883109169559531,20.624517896800352,15.111099308103366,12.446163015716976,8.939319190238429,11.080874657825035,18.788890564880727,14.50067284454417,169.9511810015709,19.22536876222308,19.901393384372877,11.513247232382083,7.737846227883805,5.546112554477783,3.416951022469073,11.942436063334968,5.486202455866292,2.1772333724493578,1.4286614620177376,3.6370890256977826,16.671415289748374,2.490376774716542,19.66131544984865,2.2944833561370626,14.163504570662607,15.283255503304328,1.5700219106704676,2.593384998343711,7.852074341755048,11.35548209695933,3.4808998410678544,3.541630881122386,1.6981199451114681,6.8721269175945245,6.042213904668985,3.081317851950853,4.2623406184368084,4.510888496676016
2012-10-24,3.5248488250062566,2.0355808245617504,3.0697079266991847,2.864438715516237,2.9717419595843997,2.6804301404841415,8.800686550263627,8.002266825697513,7.033336932177788,5.185808633844585,3.268327406263481,15.591463117247043,7.930813309768666,20.013798057783436,14.935032801473998,12.2528375055639,8.807454617057285,10.958602937462828,18.695328864467104,14.311234125672454,171.04853639994639,19.121900606403837,19.538762610167552,11.506157794431111,7.613709657382995,5.680420123460864,3.4003100272297755,11.99397873085044,5.481774528137586,2.1803615813178197,1.4286614620177376,3.60896720333414,16.63947771256495,2.5018267828761585,19.703743838821133,2.288600065480301,14.245031807856375,15.420248269720501,1.5751028877276536,2.666096727269236,7.706515806068548,11.124755662259991,3.4808998410678544,3.526131402430384,1.7043860703701823,6.8721269175945245,6.042213904668985,3.0655162219408485,4.233279205129284,4.491486825722571
2012-10-25,3.4969844074172745,1.9970414285717688,3.055142290036318,2.8692448207436136,2.9847473948561034,2.642198965738726,8.708128935361643,7.960016208877567,6.972820648822529,5.061016447468645,3.3216153531047334,15.324689033491866,7.8354050293503965,19.778416453162333,14.422143412597135,11.999514423294354,8.922836118590785,10.660565619079948,18.55923911841093,14.405953485108311,170.90268536598506,19.082484166091742,19.538762610167552,11.413995101068448,7.489573086882187,5.582981298904511,3.383669031990478,11.921818996328778,5.455206961765352,2.1678487458439726,1.4229695836830056,3.5152277954553313,16.304133152138977,2.5018267828761585,19.51705892734221,2.270950193510016,14.170916137680223,15.30037959910635,1.5751028877276536,2.7226502942113107,7.641823123541215,10.700717890380126,3.4006947756054617,3.5106319237383827,1.7043860703701823,6.856579119138428,6.025288935748344,3.081317851950853,4.213904929590934,4.481785990245848
2012-10-26,3.4644759202301283,1.9339769624063443,3.015086789213434,2.87405092597099,2.9847473948561034,2.620959424213495,8.484448032681849,7.740313001413855,6.9123043654672705,4.95471199240766,3.2061581349486863,14.633052520052518,7.578995275726297,18.39793515038452,14.184836381922766,11.806188913141277,8.681084401092022,10.454232090968723,17.77672307858792,13.932356687929019,167.44393227490283,18.486310506371346,18.93798625290201,11.194222524588245,7.348884973647936,5.538212109243485,3.339293044685685,11.75172819352772,5.397643901292178,2.130310239422432,1.4058939486788096,3.4871059730916887,15.86499146586687,2.4445767420780764,18.744862248043017,2.2591836121964923,13.978215395222227,15.069204305779058,1.5547789794989098,2.7388084561947608,7.4720048319069665,10.569765049064285,3.3365307232355477,3.4176350515863727,1.6793215693353267,6.786614026085996,5.940664091145137,3.0181113319108355,4.107346414130015,4.394478470955345
2012-10-29,3.469119989828292,1.9620056140354218,3.022369607544868,2.898081452107871,2.9782446772202515,2.6506947823488183,8.291619668302715,7.698062384593911,6.804719861724589,4.950090059578922,3.2061581349486863,14.0896238309216,7.573032258200154,17.399153746992276,14.246076905967763,11.686193768908334,8.708556187171427,10.545935881240379,17.58959967776068,13.975410942218046,167.95093825010164,18.703100928087853,18.22354950372137,11.385637349264549,7.233024174513846,5.488175956092925,3.3115580526201893,11.648642858496775,5.397643901292178,2.120925612817047,1.4058939486788096,3.5152277954553313,15.194302345014924,2.410226717599228,18.43937784744114,2.2415337402262074,13.526109807147702,15.069204305779058,1.5395360483273515,2.7388084561947608,7.415398734695549,10.494934854026662,3.352571736328026,3.4176350515863727,1.6730554440766126,6.7710662276299,5.830651793160968,3.026012146915838,4.078285000822491,4.384777635478622
2012-10-30,3.473764059426456,2.0986452907271747,3.0332938350420178,2.864438715516237,2.997752830127808,2.6337031491286336,8.307045937453045,7.672712014501944,6.771099704305001,5.074882245954861,3.161751512580976,14.0896238309216,7.549180188095587,17.62817368662362,14.452763674619634,11.819521706944938,8.609657757285568,10.591787776376206,17.742700642073878,13.691252863910469,169.867837553593,18.79178791879006,18.29391069871643,11.47071060467624,7.249575717247287,5.511877291795821,3.3281990478594867,11.746573926776172,5.419783539935707,2.1334384482908937,1.4115858270135415,3.60896720333414,15.361974625227909,2.4216767257588447,18.66000547009805,2.2415337402262074,13.496463539077242,15.069204305779058,1.5496980024417235,2.8195992661120104,7.480091417222883,10.488699004440193,3.4006947756054617,3.4641334876623775,1.6730554440766126,6.794387925314044,5.881426699922892,3.0102105169058335,4.09765927636084,4.355675129048454
2012-10-31,3.487696268220947,2.0671130576444625,3.0442180625391675,2.8932753468804946,3.0107582653995117,2.646446874043772,8.39960355235503,7.588210780862055,6.777823735788919,5.134967372728461,3.1528701881074337,14.692335649775888,7.728070713879843,18.11166022584534,14.57524472270963,11.972848835687033,8.873386903647857,10.736985444306328,17.980857697672185,13.605144355332417,171.78473685708437,18.299082414888908,18.55911827985167,11.683393743205466,7.365436516381377,5.71202190439806,3.3503870415118833,11.854813528558664,5.490630383594997,2.1459512837647408,1.4229695836830056,3.740202374364473,15.489724933961613,2.415951721679036,18.59212004774208,2.247417030882969,13.288939662584017,14.863715156154797,1.5446170253845377,2.7549666181782104,7.488178002538799,10.719425439139533,3.5851664261689655,3.5183816630843836,1.6730554440766126,6.747744529945755,5.932201606684816,3.0102105169058335,4.11703355189919,4.355675129048454
2012-11-01,3.548069172997075,2.0145593358399423,3.102480609190635,2.898081452107871,3.03676913594292,2.7101654986194648,8.63099758960999,7.765663371505822,6.925752428435106,5.361442081336647,3.2061581349486863,14.909707125428257,8.026221590186935,19.69571480829546,14.873792277428999,12.112843170625467,9.115138621146622,10.920393024849638,18.39763254496922,13.923745837071214,173.2154660473714,18.85583963429721,19.50628821247752,12.073312830509046,7.572330800549393,5.772591984527684,3.4058570256428746,11.988824464098894,5.601328576812638,2.186617999054743,1.4400452186872015,3.758950255940234,15.70131138280181,2.4445767420780764,19.169146137767846,2.2768334841667777,13.807749353817078,15.574365131938697,1.5751028877276536,2.7792038611533854,7.682256050120799,10.900265077147122,3.6332894654464014,3.5571303598143875,1.7043860703701823,6.794387925314044,6.059138873589627,3.0655162219408485,4.20421779182176,4.423580977385512
2012-11-02,3.56664545138973,1.9479912882208832,3.1862330200021196,2.9317241886995045,3.0432718535787724,2.7229092235346033,8.731268339087139,7.807913988325767,6.972820648822529,5.449258805082677,3.2061581349486863,14.692335649775888,8.032184607713077,19.689353143305702,15.00392839102462,12.106176773723636,9.126127335578383,10.920393024849638,18.37211571758369,13.863469881066576,172.4931561648964,18.678465652892793,19.19236903480724,12.073312830509046,7.613709657382995,5.8305285829125415,3.411404024055974,12.024904331359721,5.636751998642284,2.2397975498185922,1.4514289753566656,3.7964460190917575,15.589529862659818,2.478926766556926,19.228545882329325,2.3003666467938246,13.859630322940385,15.874036808474074,1.6055887500707695,2.83575742809546,7.706515806068548,10.956387723425339,3.6332894654464014,3.650127231966398,1.710652195628896,6.825483522226235,6.076063842510268,3.0576154069358465,4.233279205129284,4.41388014190879
