,600000.SH,600016.SH,600028.SH,600029.SH,600030.SH,600036.SH,600048.SH,600050.SH,600100.SH,600104.SH,600109.SH,600111.SH,600485.SH,600518.SH,600519.SH,600547.SH,600637.SH,600837.SH,600887.SH,600893.SH,600958.SH,600999.SH,601006.SH,601088.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601288.SH,601318.SH,601328.SH,601336.SH,601377.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601788.SH,601800.SH,601818.SH,601857.SH,601901.SH,601985.SH,601988.SH,601989.SH,601998.SH
1,浦发银行,民生银行,中国石化,南方航空,中信证券,招商银行,保利发展,中国联通,同方股份,上汽集团,国金证券,北方稀土,*ST信威(退市),ST康美,贵州茅台,山东黄金,东方明珠,海通证券,伊利股份,航发动力,东方证券,招商证券,大秦铁路,中国神华,兴业银行,北京银行,中国铁建,东兴证券,国泰君安,农业银行,中国平安,交通银行,新华保险,兴业证券,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,光大证券,中国交建,光大银行,中国石油,方正证券,中国核电,中国银行,中国重工,中信银行
2016-11-21,10.374197228882268,5.9357974150795245,3.256458466616067,7.271765183852494,14.538385920443677,15.16216805323138,7.370793734707737,5.559944221499615,13.879794090357876,17.84793489148868,13.780561974610277,12.899799503357308,17.3081350343849,15.962351310226778,286.9905567528721,19.818016389644313,15.701678907347873,14.90813936897195,15.205536947710968,33.71686629400512,14.52928983720056,13.745254556858056,4.927950156886789,10.42070993634419,12.681757654029141,5.925927843130815,10.20933772532402,21.407212583832994,15.800609644594708,2.292779859720025,30.402794938052857,4.074680333728306,40.4132336894473,7.580036011421392,8.051941493300493,3.2811734317730057,25.299034488725788,22.560082490977553,4.941009342520202,17.70447014391775,9.021725126591301,16.3180343430455,13.83192275393815,2.9094836821115146,6.414837770808438,8.554909009529421,6.195105397336757,2.4587335916322557,6.971414684402497,4.908273830702314
2016-11-22,10.399135202990157,5.95498641534379,3.3018672500150963,7.281447960395573,14.74739089342303,15.186969854845172,7.417395170332865,5.606824021006358,13.948119377722506,17.7270344011145,13.954510162228079,13.05616070945861,17.408066529964493,15.81582370210077,286.4063756518889,19.777909096166663,16.007386823108167,14.925782137455943,15.282722414450618,33.77535175158362,14.652270525060782,13.89781816451874,4.934910538464313,10.837538333797957,12.74384704278816,5.992853106246255,10.27878900236704,21.626399060800566,16.10593543482842,2.2999898592788925,30.589107330430895,4.110112336630292,41.28670610601786,7.765129914025868,8.051941493300493,3.2885969010756595,25.282665006688436,23.771912447076105,5.2607217117420975,17.70447014391775,8.952988173245842,16.476643024481625,13.779329891755877,2.9615716252695212,6.577781510976032,8.821324861037258,6.230155498594674,2.473154316509864,6.991333012072217,5.0300294606112095
2016-11-23,10.55499754116447,5.993364415872321,3.3018672500150963,7.2233513011370984,14.613627710716244,15.575531413461244,7.634868536583462,5.438056742782086,13.860272579682267,17.87060373343384,13.7612343982083,12.899799503357308,17.577950072449795,15.824981677608648,290.1896437344469,19.87817732986079,15.844776229618647,14.90813936897195,15.282722414450618,34.12626449705462,14.520505502353402,13.737989623159926,4.927950156886789,10.641383793819713,12.937876382660086,6.090198943505078,10.218019134954398,21.535071362064077,15.987197627515314,2.314409858396629,30.470544898917595,4.152630740112674,40.30945478846863,7.685803955766808,8.051941493300493,3.3034438396809676,25.25811078363241,23.48945584076742,5.3362900899218175,17.64326950638322,9.004540888254937,16.299374498170664,13.419945333510336,3.00621843369067,6.5091736203791495,8.633847039605818,6.177580346707798,2.4875750413874727,6.931578029063053,5.243101812951775
2016-11-24,10.53005956705658,5.980571749029478,3.2888933119010884,7.184620194964781,14.713950097746332,15.492858741415269,7.68146997220859,5.456808662584783,13.860272579682267,18.5053313078983,13.906191221223134,13.017070407933284,17.557963773333874,15.998983212258278,293.88018465811876,19.32168863285838,15.86428950083739,14.925782137455943,16.20894801532641,33.59014780258504,14.59078018113067,13.846963628631844,4.907069012154218,10.684292599439955,12.914592861875454,6.071946599019049,10.17461208680251,21.27022103572826,16.148341794583107,2.2999898592788925,30.84316968367368,4.152630740112674,40.88888698559959,7.721059937215278,8.034625490089093,3.2960203703783137,25.446359827061947,23.635239895636417,5.266534663909768,17.765670781452283,8.875659100732204,16.364683955232596,13.428710810540714,3.0285418379012445,6.474869675080709,8.732519577201312,6.1512927707643605,2.4875750413874727,6.841945554549308,5.250711539821081
2016-11-25,10.654749437596031,6.0189497495580095,3.3083542190721,7.213668524594019,14.772471490180552,15.699540421530202,7.813507373146453,5.559944221499615,14.445917899950532,18.84536393707569,13.964173950429068,12.958434955645297,17.50799802554408,16.090562967337032,293.84309379456425,18.980776638298348,15.857785077097809,14.961067674423923,16.05457708184711,33.81434205663595,14.696192199296576,14.123031109160708,4.9975539726620255,10.690422428814275,13.116383375342256,6.266638273536694,10.834399218711205,21.325017654970157,16.233154514092472,2.321619857955497,31.148044507565018,4.1809763424342625,41.21752017203207,7.721059937215278,8.190469518991685,3.3405611861942366,25.487283532155324,23.58057087506054,5.458362085442905,17.800642574329157,9.030317245759482,16.402003644982273,13.65661321333057,3.0806297810592507,6.51774960670376,8.831192114796806,6.212630447965715,2.51641649114269,6.911659701393333,5.273540720428998
2016-11-28,10.729563359919702,6.012553416136588,3.334302095300117,7.32986184311097,14.722310296665505,15.418453336573894,7.766905937521324,5.6724557403157965,14.592329230017597,18.240861485204775,13.799889551012255,13.192976764797248,17.587943222007755,15.879929530655899,296.2632726414948,19.286594751065437,15.981369128149844,14.766997221100025,15.874477659454598,33.707118717742034,14.59078018113067,13.999527236292531,4.962752064774407,10.892706798166838,13.069816333772994,6.230133584564635,11.433416483207257,21.18802610686542,16.2161919701906,2.321619857955497,31.004075840727438,4.152630740112674,41.615339292450344,7.685803955766808,8.519473580008263,3.3776785327075056,25.15170915038963,23.662574405924353,6.004779589203962,17.652012454602442,9.219343867459491,16.35535403279518,14.541926393398855,3.0880709157961093,6.577781510976032,8.74238683096086,6.2827306504815486,2.552468303336711,6.991333012072217,5.319199081644834
2016-11-29,10.760735827554564,6.057327750086541,3.392684816813154,7.513834597429475,15.014917258836599,15.501126008619869,7.766905937521324,5.766215339329281,15.002280954205382,19.19295284690146,13.722579245404342,12.968207531026627,17.32812133350082,15.824981677608648,300.3989039278205,19.15624604726307,16.14397972163936,14.90813936897195,17.238087571855075,34.04828388694995,14.669839194755099,13.984997368896275,5.0949993147473585,10.721071575685874,13.170711590506397,6.199713010421252,11.485504940989523,21.16976056711812,16.716587015295854,2.3288298575143647,31.139575762456925,4.166803541273468,41.09644478755695,7.703431946491043,8.865793644236241,3.3925254713128137,25.249926042613737,23.890361991657162,6.48144166695297,17.520868231314157,10.138700618454985,16.476643024481625,14.769828796188712,3.095512050532967,6.663541374222134,8.614112532086718,6.449218631456652,2.5668890282143195,7.280148763283178,5.265930993559692
2016-11-30,10.698390892284838,6.076516750350806,3.321328157186109,7.494469044343316,14.839353081533943,15.335780664527924,7.673703066271069,6.244389294298051,14.904673400827338,19.079608637175664,13.654932727997421,12.694575420349352,17.368093931732655,15.824981677608648,295.8738185741726,19.121152165470125,16.111457602941456,14.784639989584019,16.963650356780764,34.15550722584387,14.942153575017022,13.8614934960281,5.101959696324882,10.377801130723949,13.069816333772994,6.157124206620518,10.921213315014981,21.096698408128933,16.88621245431458,2.314409858396629,30.76695097770084,4.152630740112674,39.99811808553259,7.624105988231982,8.484841573585467,3.3554081247995438,24.72610261741851,23.49856734419673,6.400060336605578,17.337266318710565,10.293358763482265,16.43932333473195,14.051059679697628,3.0434241073749604,6.53490157935298,8.416767456895728,6.414168530198736,2.530837216020298,7.180557124934571,5.113736456173574
2016-12-01,10.692156398757865,6.031742416400853,3.41863269304117,7.513834597429475,14.906234672887333,15.286177061300338,8.279521729397732,6.872578607688395,14.836348113462707,19.442310108298212,13.722579245404342,12.772756023400001,17.527984324659997,15.889087506163776,297.67272545656544,19.426970278237214,16.111457602941456,14.819925526552,17.126597453231135,34.04828388694995,14.977290914405657,13.955937634103766,5.074118170014787,10.494267888836031,13.116383375342256,6.230133584564635,11.181655603926307,21.233689956233665,17.081281709186122,2.321619857955497,30.84316968367368,4.152630740112674,40.2229723709864,7.641733978956218,8.42423556234557,3.3554081247995438,24.627885725194403,23.161441717312172,6.225671771575454,17.398466956245098,9.975450354259523,16.887159611728052,13.910812047211563,3.0583063768486767,6.654965387897524,8.485838233212574,6.422931055513215,2.5380475784591026,7.578923678329,5.128955909912186
2016-12-02,10.660983931123004,6.031742416400853,3.567832981352265,7.32986184311097,14.513305323686154,15.286177061300338,8.240687199710125,6.413156572522322,14.348310346572486,18.951151866153094,13.442329387575663,12.469806186578731,17.128258342341642,15.980667261242528,298.36817914821216,19.46206416003016,15.78623641596242,14.996353211391902,16.48338523040072,33.55115749753271,14.73132953868521,13.636280551386134,5.1158804594799285,10.506527547584671,13.093099854557627,6.309227077337428,12.13661066326784,20.987105169645147,16.555442848228058,2.321619857955497,30.71613850705229,4.13845793895188,39.37544467966052,7.474268067075978,8.623369599276657,3.3554081247995438,24.86524321473599,22.942765635008673,6.033844350042317,17.1186926132301,9.72627889838224,16.402003644982273,13.919577524241943,3.0359829726381022,6.740725251143626,8.249024142983385,6.2914931757960275,2.530837216020298,7.409617893136368,5.113736456173574
2016-12-05,10.785673801662455,6.031742416400853,3.483502383611212,7.242716854223257,14.086935178808279,15.426720603778493,7.782439749396366,6.3569008131142315,14.416635633937117,18.66401320151441,13.123424376943028,12.411170734290742,17.1382514918996,15.980667261242528,292.9529130692565,18.705038995639498,15.818758534660326,14.66996199443808,15.462821836843133,33.68762356521587,14.300897131174434,13.149529993611564,5.018435117394597,10.46361874196443,13.124144548937135,6.254470043879341,10.921213315014981,20.1377575713958,16.275560873847155,2.336039857073233,30.707669761944192,4.166803541273468,39.133293910710265,7.245104187660913,7.8441494547637065,3.3851020020101594,24.799765286586588,22.623863014982735,5.481613894113588,16.55040097898089,9.167791152450397,15.842208298737145,12.52586667641167,3.021100703164386,6.552053552002201,7.98260829147555,6.256443074538111,2.530837216020298,7.339903746292343,5.113736456173574
2016-12-06,10.735797853446673,6.025346082979431,3.4380936002121825,7.058744099904751,14.028413786374061,15.37711700055091,7.596034006895855,6.225637374495354,14.289745814545661,18.49777502724991,12.978467553928192,12.635939968061363,17.068299444993887,16.01729916327403,302.6799920364217,18.53458299835948,15.734201026045776,14.758175836858031,15.531431140611708,33.317215667218704,14.142779103925577,12.989701452252747,4.990593591084503,10.494267888836031,13.116383375342256,6.0962830583337535,10.643408206842897,19.991633253417415,16.360373593356517,2.3432498566321005,30.63145105597136,4.152630740112674,38.8479019330189,7.201034210850323,7.826833451552306,3.370255063404852,24.807950027605262,22.277625884668865,5.4874268462812585,16.323084325281208,9.167791152450397,15.674269694863606,12.578459538593945,2.998777298953812,6.51774960670376,7.98260829147555,6.27396812516707,2.523626853581494,7.459413712310671,5.0832975486963505
