,600000.SH,600010.SH,600015.SH,600016.SH,600018.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600111.SH,600256.SH,600332.SH,600362.SH,600383.SH,600406.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600585.SH,600637.SH,600837.SH,600887.SH,600999.SH,601006.SH,601088.SH,601117.SH,601166.SH,601169.SH,601288.SH,601299.SH,601318.SH,601328.SH,601336.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601699.SH,601766.SH,601818.SH,601857.SH,601899.SH,601901.SH,601989.SH
1,浦发银行,包钢股份,华夏银行,民生银行,上港集团,中国石化,中信证券,三一重工,招商银行,保利发展,中国联通,上汽集团,北方稀土,广汇能源,白云山,江西铜业,金地集团,国电南瑞,中金黄金,ST康美,贵州茅台,山东黄金,厦门钨业,海螺水泥,东方明珠,海通证券,伊利股份,招商证券,大秦铁路,中国神华,中国化学,兴业银行,北京银行,农业银行,中国北车(退市),中国平安,交通银行,新华保险,工商银行,中国太保,中国人寿,中国建筑,华泰证券,潞安环能,中国中车,光大银行,中国石油,紫金矿业,方正证券,中国重工
2013-12-23,4.578050566574906,1.3769526059500967,3.8078611231536046,3.813955256770806,4.194025678748161,2.6804248282834306,9.73434574792517,5.615195840307714,7.391181851038496,3.762317432275487,2.878932378235268,8.612003798837453,14.06507934557591,7.419392098476909,25.069349781010214,12.39423803025202,4.144545737090971,8.76131921812663,7.111150387957282,8.042533424562086,90.75406160362586,8.487236591884407,12.951373086405825,12.000642214899473,23.40005867518817,9.203202131650515,10.651373770582147,8.096434320466491,4.364957518844447,8.597262462674044,6.541120143924041,6.76583438276293,2.4216958571710445,1.4996202119240636,4.63917172206274,15.980032563559819,2.3962628070499083,19.075803682028386,2.2421028707917348,13.473422723115082,12.703992766416173,1.6668828054948945,7.1840646684914935,6.924176721408027,4.048436211787832,1.7188561208949706,6.183032186916876,1.8672911879415992,5.762578394879898,5.45639254231092
2013-12-24,4.578050566574906,1.3769526059500967,3.8078611231536046,3.813955256770806,4.091732369510401,2.65716734604236,9.766053714530791,5.580210196442868,7.319213186471423,3.767026215044292,2.887929041917253,8.605763216374527,14.013817097391579,7.345032934906428,23.605122271676876,12.332836992593304,4.184914689075623,8.894709545323021,7.128665536696094,7.963209807223939,90.82579827393147,8.507043445074336,13.011408949848919,12.17372840069129,22.97028786070418,9.228301773827743,10.316274371058215,7.981734834259883,4.388456617196234,8.630013938722326,6.499082096726585,6.772752413829149,2.4249906814665154,1.4935488750336827,4.696682115311452,16.121556131303894,2.3901809217528274,19.143689104384357,2.2421028707917348,13.571879437786526,12.747203626165888,1.6668828054948945,7.208695747354892,6.9434283712358535,4.0978073851023185,1.7060765214831122,6.191083010076924,1.8919690450509594,5.762578394879898,5.407235852740552
2013-12-25,4.54373969509094,1.3769526059500967,3.8228134574068258,3.813955256770806,4.091732369510401,2.6629817166026273,9.87703159765046,5.615195840307714,7.419969316865327,3.823531608269956,2.8969257055992386,8.618244381300379,14.180419403990655,7.386343581334471,23.78260439402031,12.455639067910733,4.117633102434537,9.003847085756433,7.128665536696094,7.936768601444558,90.57471992786184,8.541705438156711,13.022324561384027,12.397298057339059,23.650223776156466,9.353799984713886,10.412017056636483,8.339327350080485,4.34145842049266,8.640931097405087,6.608381019439969,6.79350650702781,2.4249906814665154,1.4996202119240636,4.7158522463943555,16.21455733296429,2.3780171511586654,19.18611749335684,2.2483657279727174,13.76879286712941,12.920047065164747,1.6668828054948945,7.299009703187358,6.8985078549709264,4.08957885621657,1.699686721777183,6.231337125877164,1.8919690450509594,5.762578394879898,5.446561204396846
2013-12-26,4.455511739846456,1.3769526059500967,3.947416242850334,3.764229634127119,4.0602575051295515,2.6048380109999503,9.702637781319552,5.483999675814543,7.304819453558008,3.752899866737876,2.851942387189312,8.349899335394573,13.699835827262548,7.212838866336683,23.303402663693035,12.297750685359752,4.050351515793449,8.6764344644562,7.531513957688746,7.778121366768263,89.48432253921658,8.541705438156711,12.694856215330784,12.209788022731255,22.87407051417791,9.253401416004973,10.558290604047723,8.035711063062992,4.300334998377033,8.499008034529197,6.423413611771165,6.689736041034513,2.395337262807278,1.481406201252921,4.543321066648221,16.00429374660166,2.3415258393761795,18.897604448343955,2.2233142992487873,13.617320998404114,12.790414485915603,1.6197068770374916,7.167643949249228,6.558395374679336,3.925008278501618,1.6677377232475366,6.199133833236972,1.9330988068998936,5.762578394879898,5.367910501084257
2013-12-27,4.529035035883526,1.3769526059500967,4.086971362547063,3.813955256770806,4.115338517796038,2.6048380109999503,9.837396639393434,5.580210196442868,7.419969316865327,3.842366739345178,2.878932378235268,8.655687876077932,13.949739287161163,7.278935900621555,23.55187763497384,12.403009607060408,4.144545737090971,8.852267168487806,7.4614533627335025,7.835410645956926,90.53167792567847,8.541705438156711,12.90771064026539,12.28190726681118,22.93821541186209,9.378899626891116,10.58488579448613,8.400050607483983,4.317959322140873,8.569969565967142,6.507489706166076,6.869604848756227,2.4447596272393404,1.4935488750336827,4.600831459896932,16.51377859048034,2.3658533805645034,19.347345371452278,2.2421028707917348,14.026295043962412,13.127459191963379,1.6459157261804933,7.315430422429624,6.609733107553539,3.982607980701851,1.6869071223653245,6.215235479557068,1.91664690216032,5.762578394879898,5.584199935193879
2013-12-30,4.5094288236069735,1.3769526059500967,4.171701256648648,3.764229634127119,4.146813382176886,2.575766158198611,9.7819076978336,5.580210196442868,7.62867844410984,3.781152563350708,2.8699357145532827,8.73057486563304,13.924108163068999,7.254149512764727,23.79147850013748,12.297750685359752,4.1916428477397325,8.949278315539727,7.505241234580531,7.808969440177543,89.28345986236087,8.541705438156711,13.049613590221798,12.123244929835344,23.92604683619843,9.320333795144249,10.499781185083226,8.42703872188554,4.259211576261405,8.619096780039564,6.726087551592844,6.835014693425129,2.4381699786483986,1.4935488750336827,4.667926918687096,16.50164799895942,2.3111164128907746,19.279459949096303,2.2233142992487873,13.912691142418442,12.945973581014577,1.624948646866092,7.241537185839426,6.532726508242235,4.02375062513059,1.680517322659395,6.199133833236972,1.9001949974207464,5.762578394879898,5.485886556053141
2013-12-31,4.6221645441971475,1.5139453397053357,4.271383485003455,3.8388180680926496,4.154682098272099,2.6048380109999503,10.1069143555412,5.615195840307714,7.8373875713543555,3.8847457842644264,2.887929041917253,8.824183602576927,14.270128338313235,7.221100995622291,24.54577752009708,12.438095914293958,4.494409987624625,9.015973479137923,7.48772608584172,7.93236173381466,92.09553733834073,8.541705438156711,13.120565065200001,12.231423795955232,23.714368673840646,9.470931648207621,10.393400423329597,8.555232265292926,4.34145842049266,8.635472518063706,6.726087551592844,7.0148835011468424,2.4744130458985776,1.5056915488144444,4.7158522463943555,16.87365280560099,2.3354439540790985,19.41523079380825,2.2421028707917348,14.033868637398678,13.075606160263721,1.6459157261804933,7.35648222053529,6.847170122096724,4.122492971759561,1.699686721777183,6.207184656397019,1.9001949974207464,5.762578394879898,5.515380569795363
2014-01-02,4.573149013505768,1.6649886102559843,4.136812476724466,3.843790630357019,4.138944666081675,2.5932092698794142,9.980082489118722,5.580210196442868,7.722237708047038,3.8517843048827887,2.9059223692812233,8.64320671115208,14.186827185013698,7.237625254193509,25.166964948299103,12.464410644719123,4.3194778623577985,8.900772742013768,7.627847275752209,8.152705115309512,90.37385725100613,8.937842501955283,12.924084057568054,11.885251424371594,23.81058602036691,9.378899626891116,9.82160382890384,8.467520893487873,4.376707068020341,8.53175951057748,6.667234285516407,6.904195004087326,2.4447596272393404,1.4996202119240636,4.687097049769999,16.699780993801124,2.3232801834849366,19.18611749335684,2.2421028707917348,13.730924899948084,12.92868923711469,1.6406739563518928,7.2661682647028245,6.673905273646292,4.1142644428738135,1.6869071223653245,6.174981363756827,1.91664690216032,5.762578394879898,5.53504324562351
2014-01-03,4.480019505192146,1.8300824176020418,4.017193802698698,3.784119883184594,4.036651356843914,2.5466943053972724,9.694710789668147,5.501492497746966,7.563906645999474,3.818822825501151,2.851942387189312,8.393583412635053,14.60974073253443,7.31198441776399,24.74100785467486,12.59598429684494,4.245468117052602,8.931088725467493,7.48772608584172,8.05134715982188,88.93912384489396,8.942794215252764,12.956830892173377,11.344357093772159,23.823414999903747,9.010771541625095,9.842879981254564,8.170651635070767,4.517701658131063,8.38983644770159,6.423413611771165,6.731244227431832,2.4052217356936905,1.4935488750336827,4.552906132189673,16.291384412596788,2.3050345275936936,18.727890892454024,2.22957715642977,13.427981162497494,12.591644531066915,1.6144651072088914,7.060909274174496,6.545560941460786,4.048436211787832,1.6677377232475366,6.150828894276684,1.8919690450509594,5.762578394879898,5.436729866482773
