ÈÕÆÚ,G1,G2,G3,G4,G5
2009-12-31,,,,,
2010-01-08,-0.003836857066403735,-0.01085959437217869,-0.0044729522492977835,-0.016380559817784413,-0.03765805822372119
2010-01-15,0.04499114026096756,0.04454924550103294,0.028083846821471463,0.0024142764351113622,-0.0077251219418769815
2010-01-22,-0.041354440508182086,-0.042140548387383105,-0.05238092707134184,-0.042880087638145534,-0.026657125264301085
2010-01-29,-0.03375673604626658,-0.04844694504864668,-0.04115707769184126,-0.043923528444261735,-0.04544935086229142
2010-02-05,-0.016968427041766466,-0.014109835137081913,-0.03403486074293741,-0.022044212185834654,-0.016462170523425395
2010-02-12,0.03456587638635445,0.028663902541024834,0.03762094990023632,0.032035797106200574,0.02767187744617804
2010-02-26,0.03859225516278195,0.03156117149479482,0.03207245023724708,0.017501444134263848,-0.004238481483732918
2010-03-05,-0.0013557602462168355,-0.009523708493971904,-0.012445402927138305,-0.012325291111085039,-0.006565866857221227
2010-03-12,-0.021640640479130255,-0.023479731742317034,-0.0217393332074693,-0.01276309581163676,0.0021139700039395463
2010-03-19,0.031222172731402712,0.025048359291971262,0.02768271371291983,0.016508835102114986,0.011659591945019771
2010-03-26,0.00028928384301460863,-0.003793040983622878,-0.0072407410062146765,-0.0023920633824693303,-0.005034877095268155
2010-04-02,0.038768137467590905,0.039905880033095024,0.04489692837106185,0.04756082375341257,0.02972076103407614
2010-04-09,0.006728330959734025,0.007075675267421826,0.0061626384482835325,-0.009284057156601818,-0.013714673989655831
2010-04-16,0.0018299053214479533,-0.012450130728531421,0.0011146282380406745,-0.003527701476183026,-0.004022579370357141
2010-04-23,-0.04117707150364707,-0.022552623413854982,-0.020998054137002096,-0.04670127786346069,-0.06255385676112643
2010-04-30,-0.06279873381747426,-0.07335236572139182,-0.061826983452895654,-0.04378645337762037,-0.016141112126168138
2010-05-07,-0.05584977762125244,-0.05083300396732197,-0.0771647540792094,-0.07717149572502546,-0.07569308060215144
2010-05-14,-0.006153556777275159,-0.012759096265225499,0.0050451727189088245,0.005179930245690008,0.018719579814341178
2010-05-21,-0.05130292250322873,-0.03823830536875873,-0.0426965261681644,-0.03557196293006745,-0.03287472679628343
2010-05-28,0.041954024277359975,0.05172061794310873,0.04185265307767922,0.048876841489096275,0.015526478949918153
2010-06-04,-0.048034147316182225,-0.03183646511495386,-0.03773867643055424,-0.03368920241459118,-0.03412567869624328
2010-06-11,0.025163722214507363,0.022865682364075702,0.015370430066106689,0.017815038309901245,-0.0035256253688434594
2010-06-18,-0.02854324204417173,-0.0460353150290395,-0.036003031091830014,-0.036756378333759145,-0.008669502293663362
2010-06-25,0.015415937363603659,0.006214184363140916,0.00919100369669567,0.0038482368779430526,0.02114893451805234
2010-07-02,-0.09950248166770173,-0.10005132606769432,-0.09796900092681139,-0.0940286538210701,-0.047530012221471525
2010-07-09,0.05726210515153226,0.0607278765520661,0.050673670057873356,0.06351940472647609,0.029986971910576556
2010-07-16,-0.00454401138687047,-0.009034952105371193,-0.013916056390946611,-0.01248707934498426,-0.021607768010577035
2010-07-23,0.09061186943588143,0.07044057975038175,0.08138682805171936,0.08568912922626531,0.053206899942801505
2010-07-30,0.03939679606324951,0.03920378117015124,0.0394760600858692,0.035062049749392664,0.018592058215527247
