,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31
平安银行,,0.261945904368527,0.22881759033966667,0.4890096572826315,0.3263695348264968,0.4529848871191826,0.19339685226653372,0.25670740828578237,0.33863687688456545,0.315938918666099,0.3448825593136125
万科A,,0.2746679336453375,0.28433610458659303,0.382295847718405,0.35450836017543047,0.48497856210785756,0.38837528099137975,0.3722149724391238,0.42528081042029214,0.2906419029500272,0.30993834721921415
portfolio,,0.23678093743037398,0.22370177733674332,0.3831000885084592,0.3025112392957629,0.4289197509617404,0.27448803172588776,0.2808109273378266,0.37206465840240965,0.27141942741460634,0.2914093703140443
上证综指,,0.18395167375218982,0.1735671834710871,0.18440472006465652,0.1722411945663097,0.3925106514561143,0.23367302760189115,0.08690010400579902,0.19759366261286881,0.18088988920072602,0.20888706920173403
