,600000.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601066.SH,601088.SH,601111.SH,601138.SH,601166.SH,601186.SH,601211.SH,601229.SH,601288.SH,601318.SH,601319.SH,601328.SH,601336.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601800.SH,601818.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH,603259.SH,603993.SH
1,浦发银行,民生银行,宝钢股份,中国石化,南方航空,中信证券,三一重工,招商银行,保利发展,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中信建投,中国神华,中国国航,工业富联,兴业银行,中国铁建,国泰君安,上海银行,农业银行,中国平安,中国人保,交通银行,新华保险,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,中国交建,光大银行,中国石油,中国中免,建设银行,中国银行,中国重工,药明康德,洛阳钼业
2019-04-22,9.713426550445483,5.235202316695241,5.846470985565372,4.3663167900957145,8.413382938817747,20.814428502865937,11.186833058284252,30.719010338705683,11.059468245768695,6.807064233486676,23.897111872475577,28.052812504443793,42.781954462926635,41.32691911234096,22.345310626558827,906.1502269738946,33.629932407837465,16.38548318957167,12.766403912858134,12.754125443776253,28.7850433601561,24.115023282969297,14.851620470088614,10.230142597842306,15.487160980333663,16.273928658114777,10.557080279229487,17.561931247801322,8.062433820207403,3.00349724133056,75.53836475875664,8.69919504916697,4.8813570240105575,54.67584483322474,6.624085522982547,4.727419980832477,32.35601216554368,27.924941334541533,5.475815661967905,19.4351186557597,8.287168556327376,12.494960271706622,3.3806187869961617,6.845940301663807,76.37806044988858,6.014842606539244,3.113905215672547,6.499344627323258,38.39908444535911,4.364295702719703
2019-04-23,9.705131566200865,5.211039844464339,5.823331918340179,4.329501302826779,8.26438560223892,20.95441625235978,11.278603633003565,31.09858431702877,11.059468245768695,6.618763701440018,23.88870331798139,27.841093164787612,43.26388829176553,42.255117295612784,22.36632502526719,930.732368087019,33.55558473118049,16.40401880403951,13.076362126220396,12.89175989101125,28.320468741690053,26.04077603619807,14.762555279863195,10.033409086345337,15.5778352249492,16.30753511894723,10.269812788638207,17.624239164037817,8.138434767452091,2.99555148143286,76.51638031001174,8.790958710023162,4.8813570240105575,53.820432422124284,6.499772926036495,4.7112024165757616,31.98823301589568,28.15858374865249,5.458703738024255,19.553736750841804,8.126078886765937,12.060037796694356,3.3966406769819257,6.819371322485293,75.79053690796637,6.03116511022049,3.129752061553832,6.159901129122043,37.3324432107658,4.298170010254252
2019-04-24,9.638771692243937,5.186877372233439,5.831044940748575,4.285322718104057,8.304118225326606,21.15564864225718,11.31531186289129,31.601740520852395,11.026454907721623,6.684668887656348,23.897111872475577,28.043188898095785,43.27077306074894,41.38879899122575,22.177195436891928,926.0068691157583,33.63819326079935,16.190859237659335,13.88031624212876,13.020218708430578,28.562047543292397,25.63837993850848,14.769977379048644,10.131775842093822,15.351149613410358,16.299133503739114,10.359583879447982,17.677645949383386,8.087767469288965,2.99555148143286,75.60060211201834,8.726724147423827,4.865786507187558,53.626421359812845,6.526411339667791,4.7112024165757616,31.740195914970286,27.756718796381644,5.475815661967905,19.681479314776375,8.14397773893943,12.150646645655245,3.388629731989044,6.775089690521103,77.19080134954764,6.047487613901737,3.0980583697912616,6.109982967621865,37.186041472684366,4.345402647729574
2019-04-25,9.572411818287007,5.138552427771636,5.576515201271456,4.219054841019974,8.145187732975858,20.560700706908346,10.902344276654382,31.275130353458113,10.976934900651019,6.421048142791028,23.031030759574456,27.504266942607327,43.99367380400727,40.24844122320607,21.868984255835944,909.1764556080151,32.63036919944927,15.773807912132908,13.657533776274635,12.689896035066589,28.292594264582092,25.887482284697274,14.502781808372388,9.807165548123827,14.66202535433228,16.17310927561742,9.98254529804693,17.20588601216419,7.916765337988416,2.971714201739761,74.15136088606762,8.662489584824492,4.850215990364558,52.788646318013434,6.357701386669577,4.646332159548901,31.47505280708452,27.56045916852844,5.321808346475057,19.334749498382543,7.929191512857511,11.525445587825109,3.3565859520175163,6.65110112102137,77.67061224211746,5.982197599176751,3.0822115239099763,5.880359424721044,36.85140892849822,4.20370473530361
2019-04-26,9.389922164905453,5.058010853668632,5.545663111637865,4.167513158843464,7.986257240625109,20.639443815998632,10.939052506542108,30.33060905856113,10.927414893580412,6.317482850165366,22.349937845545416,27.263676783907123,42.912765073611475,38.88708388774073,21.420677083390878,902.140712695249,32.62210834648739,15.523577116817052,13.715650941280058,13.12115063640291,27.87447710796265,26.586885025919667,14.376606122219712,9.679288765650796,14.516946562947423,15.921060819374032,9.695277807455652,17.196984881273263,7.752096618958257,2.955822681944361,73.8935204225549,8.396374968341538,4.811289698307057,52.11842628457391,6.215629847302658,4.630114595292186,30.970425601753547,28.111855265830297,5.219136802813159,19.4351186557597,7.750202991122579,11.271740810734618,3.276476502088697,6.571394183485828,75.69261631764599,5.92506883629239,3.058441255088048,5.760555837120615,36.93088415774244,4.128132515343095
2019-04-29,9.522641912819312,5.138552427771636,5.522524044412672,4.167513158843464,8.21471982337931,20.140737458426813,11.287780690475497,31.18685733524344,11.108988252839302,6.317482850165366,22.467657608464016,27.792975133047573,44.97131099965188,40.04512162115605,21.644830669613413,927.8875222416943,33.29123743640014,15.449434658945687,13.105420708723107,12.781652333223253,28.57133903566172,23.932986953062098,14.487937610001485,9.817002223698674,14.054507915408184,16.33273996457157,9.677323589293696,16.840939645636137,7.8344309784733355,2.971714201739761,76.84534917725209,7.891674833632483,4.858001248776057,51.22773913487137,6.180111962460929,4.703093634447404,31.457946800124148,28.96231365319418,5.253360650700459,18.677787741004746,7.607012173734633,11.135827537293284,3.3405640620317523,6.553681530700152,78.3168881382319,6.047487613901737,3.0822115239099763,5.520948661919758,37.64197831413797,3.93920196544181
2019-04-30,9.929096140805502,5.154660742592237,5.53023706682107,4.182239353751038,8.42331609458967,20.15823592711354,11.24189540311584,30.410054774954336,11.133748256374604,6.279822743756034,23.022622205080268,28.004694472703754,45.26735606593863,39.98324174227126,22.009080247225032,929.8254541430397,33.00210758273414,15.922092827875638,12.650169582847287,12.827530482301585,28.80362634489474,22.38088771911652,14.614113296154162,9.984225708471095,13.981968519715755,16.73601749456099,9.731186243779561,16.760829467617782,8.024433346585058,2.9876057215351604,76.55194451187555,7.8824984675468635,4.873571765599057,50.66334331723809,6.251147732144388,4.7112024165757616,30.944766591312987,28.31746059024794,5.2448046887286335,18.613916459037462,7.732304138949086,11.163010191981552,3.3405640620317523,6.56253785709299,75.87866543925469,6.071971369423606,3.0822115239099763,5.660719514120258,37.027091014195946,3.976988075422067
2019-05-06,9.788081408647027,5.017740066617131,5.321985461794336,4.00552501486015,7.598864165520161,18.145912028139534,10.461845518001681,29.933380476595104,10.589028178597937,5.705506121013728,21.963144338812878,25.560298460309678,44.20021687350966,37.56992646576451,20.4540147428062,864.9095086792546,31.812544756222568,15.125061405758464,11.381278146895529,11.542942308108293,27.87447710796265,20.138966603417344,14.020345361318036,9.030068177710804,12.621854850482704,16.248723812490436,9.013017517301364,15.256538347050919,7.796430504850992,2.9002023626604614,72.19532978355744,7.166741912868568,4.819074956718557,46.192270199424385,5.975884124620985,4.638223377420543,29.336801937038015,25.77543112472073,4.953901981686589,16.752524813133714,7.302731686785248,10.066643119554792,3.2364217771242876,6.5005435723431235,74.42944070251322,5.835295066045536,2.9950538715629076,5.111619737618293,33.81461859000905,3.693592250570138
2019-05-07,9.788081408647027,5.025794224027431,5.298846394569143,4.012888112313937,7.7081288790113005,18.1546612624829,11.122593655980733,29.756834440165765,10.679814858227381,5.724336174218394,22.005187111283806,25.97411353327403,45.53586205629173,38.003085617958035,20.874302716973453,849.6351685701287,32.366021904668926,15.532844924050973,11.274730011052252,11.62552297644929,28.3855091882753,20.752141609420537,14.027767460503487,9.098924906734743,12.8576078864831,16.072289893120065,9.06688017178723,15.327747394178344,7.682429083983959,2.9081481225581616,72.16865663215957,7.267681939810379,4.764578147838057,45.962984398510855,5.984763595831417,4.589570684650398,29.105870843072996,25.859542393800677,4.996681791545713,16.834645032805938,7.365377669392474,10.347530551333548,3.2364217771242876,6.456261940378933,74.81133100476266,5.802650058683043,2.9950538715629076,5.161537899118471,33.81880149681137,3.750271415540524
2019-05-08,9.54752686555316,4.985523436975929,5.198577103259974,3.9613464301374273,7.578997853976317,17.734698014001367,10.874813104238587,29.244850934520674,10.597281513109705,5.6207708815927315,21.803381803423353,25.64691091744175,44.220871180459895,37.66716627544061,20.80425472127891,844.2891495319346,31.762979638451256,15.282614128735114,11.303788593554964,11.350254081979298,28.004558001133145,19.803636522009352,13.76057188982723,8.941538097537169,12.658124548328919,15.652209132714416,8.977109080977455,15.087416860123282,7.486093303601846,2.868419323069662,70.04369557079625,7.221800109382284,4.710081338957556,45.10757198741041,5.931486768568822,4.532809209751894,28.421630564658113,25.233380723983313,4.928234095771114,16.68865353116643,7.293782260698501,10.356591436229637,3.1883561071669964,6.411980308414743,71.8835053541836,5.721037540276811,2.9475133339190522,5.161537899118471,33.4632544186136,3.750271415540524
2019-05-09,9.22402248001313,4.929144335103826,5.152298968809588,3.939257137776066,7.360468426994038,17.30598553117647,10.88399016171052,28.618112505196503,10.324921474221371,5.4795454825577385,21.4838567326443,24.742291920728988,43.02980614632949,35.660490203033895,20.243870755722575,819.8597518199014,31.159937372233582,14.735813501933798,11.081006127700839,11.056633927877977,27.11257473367834,19.573695894758153,13.6269741044891,8.646437830291717,12.540248030328721,15.139710605019529,8.914269317410612,14.90049311141379,7.346758233653249,2.852527803274262,68.1587928720137,7.322740136324096,4.671155046900055,44.049329829348,5.8782099413062285,4.476047734853391,27.463694174877283,24.298811067539486,4.834118514081041,16.49703968526457,7.249035130264767,10.265982587268748,3.1402904372097047,6.385411329236229,72.11851477095249,5.631263770029957,2.923743065097124,5.101636105318257,31.271411254194412,3.712485305560267
2019-05-10,9.389922164905453,4.985523436975929,5.298846394569143,3.9981619174063625,7.569064698204396,18.058419684705882,11.425436552554466,29.668561421951093,10.704574861762685,5.714921147616061,22.139723983190777,25.50255682222163,44.145138721642354,37.21632715785143,20.832273919556727,865.9787124868934,32.20906569839309,15.22700728533159,11.778412107765927,11.717279274605954,28.116055909564995,20.924597079858938,13.812526584125392,8.971048124261713,12.893877584329315,15.526184904592725,9.084834389949183,15.550275666451547,7.467093066790673,2.9002023626604614,72.35536869194463,7.671442047577623,4.710081338957556,46.950677079369115,5.975884124620985,4.5490267740086106,28.86638674562779,25.24272642054775,4.902566209855641,17.327366350839284,7.347478817218981,10.456261170086615,3.1723342171812323,6.447405613986096,75.54573543216544,5.712876288436188,2.97128360274098,5.271357854418865,32.74379444861341,3.7786109980257168
